Base,Variable,LIC,LSC
FVT 100 CW,Get_Encoder0,6,33.5
FVT 100 CW,Get_Encoder1,5,34.5
FVT 100 CW,Get_Encoder2,5,38
FVT 100 CW,Get_Encoder3,4,44
FVT 100 CW,Get_Encoder4,3,43
FVT 100 CW,Get_Encoder5,5,26.5
FVT 100 CW,Get_Encoder6,6,29
FVT 100 CW,Get_Encoder7,5.5,33
FVT 100 CW,Get_Encoder8,6,34
FVT 100 CW,Get_Encoder9,6,38
FVT 100 CW,Get_EncoderA,6,35
FVT 100 CW,Get_EncoderB,6,35
FVT 8 CW,Get_Encoder0,14,73
FVT 8 CW,Get_Encoder1,13,74
FVT 8 CW,Get_Encoder2,13,73
FVT 8 CW,Get_Encoder3,13,66
FVT 8 CW,Get_Encoder4,12,59
FVT 8 CW,Get_Encoder5,13,54
FVT 8 CW,Get_Encoder6,12,53.4
FVT 8 CW,Get_Encoder7,12,53
FVT 8 CW,Get_Encoder8,12,53
FVT 8 CW,Get_Encoder9,12,53
FVT 8 CW,Get_EncoderA,11,52
FVT 8 CW,Get_EncoderB,12,52
FVT 8 CW,Get_EncoderC,11,53
FVT 8 CW,Get_EncoderD,11,52.85
FVT 8 CW,Get_EncoderE,10,54
FVT 8 CW,Get_EncoderF,2,49
FVT 9 CW,Get_Encoder0,15,32
FVT 9 CW,Get_Encoder1,13.775,31
FVT 9 CW,Get_Encoder2,14,32.225
FVT 9 CW,Get_Encoder3,14,34
FVT 9 CW,Get_Encoder4,15,33
FVT 9 CW,Get_Encoder5,15,33
FVT 9 CW,Get_Encoder6,14,33
FVT 9 CW,Get_Encoder7,14.775,33
FVT 9 CW,Get_Encoder8,15,32
FVT 9 CW,Get_Encoder9,15,33
FVT 9 CW,Get_EncoderA,15,33
FVT 9 CW,Get_EncoderB,15,32
FVT 9 CW,Get_EncoderC,15,32
FVT 9 CW,Get_EncoderD,14,32
FVT 9 CW,Get_EncoderE,13,32
FVT 9 CW,Get_EncoderF,9,28
FVT 8 CD,Get_Encoder0,13,34
FVT 8 CD,Get_Encoder1,10,34.5
FVT 8 CD,Get_Encoder2,10,33.5
FVT 8 CD,Get_Encoder3,10,31
FVT 8 CD,Get_Encoder4,10.5,32
FVT 8 CD,Get_Encoder5,10,31
FVT 8 CD,Get_Encoder6,9,32.5
FVT 8 CD,Get_Encoder7,10,30.5
FVT 8 CD,Get_Encoder8,10,30.5
FVT 8 CD,Get_Encoder9,11,30
FVT 8 CD,Get_EncoderA,9,28
FVT 8 CD,Get_EncoderB,10,29
FVT 8 CD,Get_EncoderC,10,28.52
FVT 8 CD,Get_EncoderD,9,28
